t_sec      qx           qy           qz           qw
 47.500  -0.881646180  -0.036363642   0.135593235   0.450546527
 47.750  -0.881713344  -0.036486708   0.135772876   0.450351002
 48.000  -0.881780303  -0.036609688   0.135952383   0.450155725
 48.250  -0.881847059  -0.036732581   0.136131755   0.449960695
 48.500  -0.881913611  -0.036855389   0.136310992   0.449765913
 48.750  -0.881979959  -0.036978110   0.136490095   0.449571379
 49.000  -0.882046105  -0.037100745   0.136669063   0.449377092
 49.250  -0.882112047  -0.037223295   0.136847897   0.449183054
 49.500  -0.882177786  -0.037345758   0.137026596   0.448989265
 49.750  -0.882243323  -0.037468135   0.137205161   0.448795724
 50.000  -0.882308657  -0.037590426   0.137383591   0.448602432
 50.250  -0.882373789  -0.037712631   0.137561887   0.448409390
 50.500  -0.882438719  -0.037834750   0.137740048   0.448216597
 50.750  -0.882503447  -0.037956783   0.137918075   0.448024053
 51.000  -0.882567974  -0.038078730   0.138095968   0.447831760
 51.250  -0.882632299  -0.038200591   0.138273726   0.447639717
 51.500  -0.882696423  -0.038322366   0.138451350   0.447447924
 51.750  -0.882760346  -0.038444055   0.138628840   0.447256381
 52.000  -0.882824069  -0.038565658   0.138806195   0.447065089
 52.250  -0.882887590  -0.038687175   0.138983417   0.446874049
 52.500  -0.882950912  -0.038808606   0.139160504   0.446683259
 52.750  -0.883014033  -0.038929951   0.139337457   0.446492721
 53.000  -0.883076954  -0.039051211   0.139514276   0.446302435
 53.250  -0.883139675  -0.039172384   0.139690961   0.446112400
 53.500  -0.883202197  -0.039293471   0.139867512   0.445922618
 53.750  -0.883264520  -0.039414472   0.140043929   0.445733088
 54.000  -0.883326643  -0.039535387   0.140220213   0.445543811
 54.250  -0.883388567  -0.039656217   0.140396362   0.445354786
 54.500  -0.883450293  -0.039776960   0.140572377   0.445166014
 54.750  -0.883511820  -0.039897618   0.140748259   0.444977495
 55.000  -0.883573149  -0.040018190   0.140924007   0.444789230
 55.250  -0.883634279  -0.040138676   0.141099621   0.444601219
 55.500  -0.883695212  -0.040259076   0.141275102   0.444413461
 55.750  -0.883755947  -0.040379390   0.141450449   0.444225957
 56.000  -0.883816485  -0.040499618   0.141625662   0.444038708
 56.250  -0.883876825  -0.040619760   0.141800742   0.443851713
 56.500  -0.883936968  -0.040739817   0.141975688   0.443664973
 56.750  -0.883996914  -0.040859787   0.142150501   0.443478487
 57.000  -0.884056664  -0.040979672   0.142325181   0.443292257
 57.250  -0.884116217  -0.041099471   0.142499727   0.443106282
 57.500  -0.884175573  -0.041219185   0.142674139   0.442920562
 57.750  -0.884234734  -0.041338812   0.142848419   0.442735099
 58.000  -0.884293698  -0.041458354   0.143022565   0.442549891
 58.250  -0.884352467  -0.041577810   0.143196578   0.442364939
 58.500  -0.884411041  -0.041697180   0.143370458   0.442180243
 58.750  -0.884469419  -0.041816464   0.143544205   0.441995805
 59.000  -0.884527602  -0.041935663   0.143717819   0.441811622
 59.250  -0.884585590  -0.042054776   0.143891300   0.441627697
 59.500  -0.884643384  -0.042173803   0.144064648   0.441444029
 59.750  -0.884700983  -0.042292744   0.144237863   0.441260619
 60.000  -0.884758388  -0.042411600   0.144410945   0.441077465
 60.250  -0.884815598  -0.042530370   0.144583895   0.440894570
 60.500  -0.884872615  -0.042649054   0.144756711   0.440711933
 60.750  -0.884929438  -0.042767653   0.144929396   0.440529553
 61.000  -0.884986068  -0.042886166   0.145101947   0.440347432
 61.250  -0.885042504  -0.043004593   0.145274366   0.440165570
 61.500  -0.885098748  -0.043122935   0.145446652   0.439983966
 61.750  -0.885154798  -0.043241191   0.145618806   0.439802622
 62.000  -0.885210656  -0.043359361   0.145790828   0.439621536
 62.250  -0.885266321  -0.043477446   0.145962717   0.439440710
 62.500  -0.885321794  -0.043595445   0.146134474   0.439260143
 62.750  -0.885377075  -0.043713358   0.146306098   0.439079836
 63.000  -0.885432164  -0.043831186   0.146477591   0.438899789
 63.250  -0.885487062  -0.043948929   0.146648951   0.438720002
 63.500  -0.885541768  -0.044066585   0.146820179   0.438540476
 63.750  -0.885596282  -0.044184157   0.146991275   0.438361209
 64.000  -0.885650606  -0.044301642   0.147162240   0.438182204
 64.250  -0.885704739  -0.044419043   0.147333072   0.438003459
 64.500  -0.885758681  -0.044536357   0.147503773   0.437824976
 64.750  -0.885812432  -0.044653586   0.147674341   0.437646754
 65.000  -0.885865994  -0.044770730   0.147844778   0.437468793
 65.250  -0.885919365  -0.044887788   0.148015084   0.437291094
 65.500  -0.885972546  -0.045004761   0.148185258   0.437113656
 65.750  -0.886025538  -0.045121648   0.148355300   0.436936481
 66.000  -0.886078340  -0.045238450   0.148525211   0.436759568
 66.250  -0.886130953  -0.045355166   0.148694990   0.436582917
 66.500  -0.886183377  -0.045471797   0.148864638   0.436406529
 66.750  -0.886235612  -0.045588342   0.149034155   0.436230403
 67.000  -0.886287658  -0.045704802   0.149203540   0.436054540
 67.250  -0.886339516  -0.045821176   0.149372795   0.435878941
 67.500  -0.886391185  -0.045937466   0.149541918   0.435703605
 67.750  -0.886442666  -0.046053669   0.149710910   0.435528532
 68.000  -0.886493960  -0.046169788   0.149879772   0.435353723
 68.250  -0.886545065  -0.046285821   0.150048502   0.435179178
